service_id,date,exception_type
1,20170708,1
1,20170715,1
1,20170722,1
1,20170729,1
1,20170805,1
1,20170812,1
1,20170819,1
1,20170826,1
1,20170902,1
1,20170909,1
1,20170916,1
1,20170923,1
1,20170930,1
1,20171007,1
1,20171014,1
1,20171021,1
1,20171028,1
1,20171104,1
1,20171111,1
1,20171118,1
1,20171125,1
1,20171202,1
1,20171209,1
1,20171216,1
1,20171223,1
1,20171230,1
2,20170709,1
2,20170716,1
2,20170723,1
2,20170730,1
2,20170806,1
2,20170813,1
2,20170820,1
2,20170827,1
2,20170903,1
2,20170910,1
2,20170917,1
2,20170924,1
2,20171001,1
2,20171008,1
2,20171015,1
2,20171022,1
2,20171029,1
2,20171105,1
2,20171112,1
2,20171119,1
2,20171126,1
2,20171203,1
2,20171210,1
2,20171217,1
2,20171224,1
2,20171231,1
3,20170706,1
3,20170707,1
3,20170710,1
3,20170711,1
3,20170712,1
3,20170713,1
3,20170714,1
3,20170717,1
3,20170718,1
3,20170719,1
3,20170720,1
3,20170721,1
3,20170724,1
3,20170725,1
3,20170726,1
3,20170727,1
3,20170728,1
3,20170731,1
3,20170801,1
3,20170802,1
3,20170803,1
3,20170804,1
3,20170807,1
3,20170808,1
3,20170809,1
3,20170810,1
3,20170811,1
3,20170814,1
3,20170815,1
3,20170816,1
3,20170817,1
3,20170818,1
3,20170821,1
3,20170822,1
3,20170823,1
3,20170824,1
3,20170825,1
3,20170828,1
3,20170829,1
3,20170830,1
3,20170831,1
3,20170901,1
3,20170904,1
3,20170905,1
3,20170906,1
3,20170907,1
3,20170908,1
3,20170911,1
3,20170912,1
3,20170913,1
3,20170914,1
3,20170915,1
3,20170918,1
3,20170919,1
3,20170920,1
3,20170921,1
3,20170922,1
3,20170925,1
3,20170926,1
3,20170927,1
3,20170928,1
3,20170929,1
3,20171002,1
3,20171003,1
3,20171004,1
3,20171005,1
3,20171006,1
3,20171009,1
3,20171010,1
3,20171011,1
3,20171012,1
3,20171013,1
3,20171016,1
3,20171017,1
3,20171018,1
3,20171019,1
3,20171020,1
3,20171023,1
3,20171024,1
3,20171025,1
3,20171026,1
3,20171027,1
3,20171030,1
3,20171031,1
3,20171101,1
3,20171102,1
3,20171103,1
3,20171106,1
3,20171107,1
3,20171108,1
3,20171109,1
3,20171110,1
3,20171113,1
3,20171114,1
3,20171115,1
3,20171116,1
3,20171117,1
3,20171120,1
3,20171121,1
3,20171122,1
3,20171123,1
3,20171124,1
3,20171127,1
3,20171128,1
3,20171129,1
3,20171130,1
3,20171201,1
3,20171204,1
3,20171205,1
3,20171206,1
3,20171207,1
3,20171208,1
3,20171211,1
3,20171212,1
3,20171213,1
3,20171214,1
3,20171215,1
3,20171218,1
3,20171219,1
3,20171220,1
3,20171221,1
3,20171222,1
3,20171225,1
3,20171226,1
3,20171227,1
3,20171228,1
3,20171229,1
3,20180101,1
4,20170901,1
5,20170706,1
5,20170707,1
5,20170710,1
5,20170711,1
5,20170712,1
5,20170713,1
5,20170714,1
5,20170717,1
5,20170718,1
5,20170719,1
5,20170720,1
5,20170721,1
5,20170724,1
5,20170725,1
5,20170726,1
5,20170727,1
5,20170728,1
5,20170731,1
5,20170801,1
5,20170802,1
5,20170803,1
5,20170804,1
5,20170807,1
5,20170808,1
5,20170809,1
5,20170810,1
5,20170811,1
5,20170814,1
5,20170815,1
5,20170816,1
5,20170817,1
5,20170818,1
5,20170821,1
5,20170822,1
5,20170823,1
5,20170824,1
5,20170825,1
5,20170828,1
5,20170829,1
5,20170830,1
5,20170831,1
5,20170904,1
5,20170905,1
5,20170906,1
5,20170907,1
5,20170908,1
5,20170911,1
5,20170912,1
5,20170913,1
5,20170914,1
5,20170915,1
5,20170918,1
5,20170919,1
5,20170920,1
5,20170921,1
5,20170922,1
5,20170925,1
5,20170926,1
5,20170927,1
5,20170928,1
5,20170929,1
5,20171002,1
5,20171003,1
5,20171004,1
5,20171005,1
5,20171006,1
5,20171009,1
5,20171010,1
5,20171011,1
5,20171012,1
5,20171013,1
5,20171016,1
5,20171017,1
5,20171018,1
5,20171019,1
5,20171020,1
5,20171023,1
5,20171024,1
5,20171025,1
5,20171026,1
5,20171027,1
5,20171030,1
5,20171031,1
5,20171101,1
5,20171102,1
5,20171103,1
5,20171106,1
5,20171107,1
5,20171108,1
5,20171109,1
5,20171110,1
5,20171113,1
5,20171114,1
5,20171115,1
5,20171116,1
5,20171117,1
5,20171120,1
5,20171121,1
5,20171122,1
5,20171123,1
5,20171124,1
5,20171127,1
5,20171128,1
5,20171129,1
5,20171130,1
5,20171201,1
5,20171204,1
5,20171205,1
5,20171206,1
5,20171207,1
5,20171208,1
5,20171211,1
5,20171212,1
5,20171213,1
5,20171214,1
5,20171215,1
